City,State,"Facility Type","Job ID","Entry Point","Pallet Count","Gross Wgt",Copies,"Tray Count","Postage Savings","Freight Cost","Entry Postage","Local Postage","Net Savings",Carrier,"transit time"
GREENVILLE,SC,SCF,22399,29607,1,402.53,11852,36,367.412,"$97.09 ",2620.271,2987.683,282.412,FXFE,2
WILMINGTON,DE,SCF,22399,19720,1,308.9875,9065,25,281.015,"$97.09 ",1994.189,2275.204,196.015,FXFE,3
CHICAGO,IL,NDC,22399,60130,1,383.42,11488,31,275.712,"$97.09 ",2839.229,3114.941,190.712,FXFE,2
"ST LOUIS",MO,NDC,22399,63042,1,801.5575,24373,71,755.563,"$102.80 ",5471.933,6227.496,670.563,FXFE,2
SPRINGFIELD,MO,SCF,22399,65801,1,314.955,9242,26,286.502,"$94.77 ",2047.456,2333.958,201.502,FXFE,1
"KANSAS CITY",MO,SCF,22399,64121,1,427.67,12708,38,393.948,"$94.77 ",2798.463,3192.411,308.948,FXFE,1
ATLANTA,GA,NDC,22399,30369,1,361.2575,10453,40,250.872,"$97.09 ",2417.372,2668.244,165.872,FXFE,2
COLUMBIA,SC,SCF,22399,29292,1,542.1575,16373,45,507.563,"$102.85 ",3689.04,4196.603,422.563,FXFE,2
MEMPHIS,TN,SCF,22399,38101,1,302.15,8820,26,273.42,"$97.09 ",1956.851,2230.271,188.42,FXFE,1
CHARLESTON,SC,SCF,22399,29418,1,329.26,9704,28,300.824,"$97.09 ",2159.276,2460.1,215.824,FXFE,2
BIRMINGHAM,AL,SCF,22399,35203,1,450.7,13080,48,405.48,"$97.09 ",2949.94,3355.42,320.48,FXFE,2
MONTGOMERY,AL,SCF,22399,36119,1,214.1725,5919,24,183.489,"$97.09 ",1342.343,1525.832,98.489,FXFE,2
JACKSON,MS,SCF,22399,39201,1,708.83,21612,59,669.972,"$97.09 ",4839.806,5509.778,584.972,FXFE,1
BOISE,ID,SCF,22399,83708,1,219.4875,6185,20,191.735,"$137.79 ",1386.767,1578.502,106.735,FXFE,3
"SALT LAKE CITY",UT,SCF,22399,84199,1,516.195,15418,48,477.958,"$137.79 ",3491.024,3968.982,392.958,FXFE,3
BAKERSFIELD,CA,SCF,22399,93380,1,223.6225,6219,24,192.789,"$116.86 ",1411.907,1604.696,107.789,FXFE,3
"LOS ANGELES",CA,NDC,22399,90201,1,359.46,10464,37,251.136,"$116.86 ",2503.372,2754.508,166.136,FXFE,2
OAKLAND,CA,SCF,22399,94615,1,214.035,6074,20,188.294,"$116.86 ",1422.138,1610.432,103.294,FXFE,3
SACRAMENTO,CA,SCF,22399,95799,1,392.145,11518,42,357.058,"$117.35 ",2662.093,3019.151,272.058,FXFE,3
"SN BERNARDINO",CA,SCF,22399,92403,1,463.47,13668,46,423.708,"$116.86 ",3096.89,3520.598,338.708,FXFE,2
"SAN DIEGO",CA,SCF,22399,92199,1,280.9625,8115,26,251.565,"$116.86 ",1886.827,2138.392,166.565,FXFE,3
"SANTA ANA",CA,SCF,22399,92799,1,280.9275,7961,32,246.791,"$116.86 ",1792.261,2039.052,161.791,FXFE,2
"SANTA CLARITA",CA,SCF,22399,91383,1,233.505,6622,24,205.282,"$116.86 ",1521.541,1726.823,120.282,FXFE,2
"SAN FRAN",CA,NDC,22399,94850,1,417.1525,12271,41,294.504,"$120.93 ",2942.305,3236.809,209.504,FXFE,3
"LOS ANGELES",CA,SCF,22399,90052,1,488.4975,14349,49,444.819,"$116.86 ",3227.225,3672.044,359.819,FXFE,2
DALLAS,TX,NDC,22399,75398,2,959.9,28400,97,66.336,,7318.145,7384.481,66.336,,
